arc_length,U:x,,,,,,,,
0,0,,,,,,,,
1.43,-0.088108,,,,,,,,
1.44,-0.086869,,,,,,,,
1.45,-0.085622,,,,,,,,
1.46,-0.084264,,,,,,,,
1.47,-0.082906,,,,,,,,
1.48,-0.081483,,,,,,,,
1.49,-0.080008,,,,,,,,
1.5,-0.078529,,,,,,,,
1.51,-0.076943,,,,,,,,
1.52,-0.075356,,,,,,,,
1.53,-0.073714,,,,,,,,
1.54,-0.072021,,,,,,,,
1.55,-0.070329,,,,,,,,
1.56,-0.068539,,,,,,,,
1.57,-0.066749,,,,,,,,
1.58,-0.064919,,,,,,,,
1.59,-0.063042,,,,,,,,
1.6,-0.061171,,,,,,,,
1.61,-0.059221,,,,,,,,
1.62,-0.05727,,,,,,,,
1.63,-0.0553,,,,,,,,
1.64,-0.053291,,,,,,,,
1.65,-0.051294,,,,,,,,
1.66,-0.049246,,,,,,,,
1.67,-0.047198,,,,,,,,
1.68,-0.045155,,,,,,,,
1.69,-0.043088,,,,,,,,
1.7,-0.041037,,,,,,,,
1.71,-0.038974,,,,,,,,
1.72,-0.036911,,,,,,,,
1.73,-0.034882,,,,,,,,
1.74,-0.032848,,,,,,,,
1.75,-0.030835,,,,,,,,
1.76,-0.028858,,,,,,,,
1.77,-0.026881,,,,,,,,
1.78,-0.024968,,,,,,,,
1.79,-0.023076,,,,,,,,
1.8,-0.021207,,,,,,,,
1.81,-0.01943,,,,,,,,
1.82,-0.017652,,,,,,,,
1.83,-0.015971,,,,,,,,
1.84,-0.014338,,,,,,,,
1.85,-0.012729,,,,,,,,
1.86,-0.011271,,,,,,,,
1.87,-0.0098144,,,,,,,,
1.88,-0.0084808,,,,,,,,
1.89,-0.0072283,,,,,,,,
1.9,-0.0059949,,,,,,,,
1.91,-0.0049757,,,,,,,,
1.92,-0.0039565,,,,,,,,
1.93,-0.0030862,,,,,,,,
1.94,-0.0023323,,,,,,,,
1.95,-0.0015908,,,,,,,,
1.96,-0.0011283,,,,,,,,
1.97,-0.00066582,,,,,,,,
1.98,-0.00035652,,,,,,,,
1.99,-0.00017826,,,,,,,,
2,0,,,,,,,,
