"arc_length","U:y"
0,0
0.02,0.0084053
0.04,0.016325
0.06,0.023823
0.08,0.030896
0.1,0.03754
0.12,0.043653
0.14,0.049295
0.16,0.054517
0.18,0.059324
0.2,0.063722
0.22,0.067612
0.24,0.07109
0.26,0.074193
0.28,0.076932
0.3,0.079316
0.32,0.081255
0.34,0.08286
0.36,0.084154
0.38,0.085147
0.4,0.085849
0.42,0.086183
0.44,0.086257
0.46,0.086082
0.48,0.085666
0.5,0.085018
0.52,0.084071
0.54,0.082924
0.56,0.081579
0.58,0.080042
0.6,0.078321
0.62,0.076354
0.64,0.074232
0.66,0.071948
0.68,0.06951
0.7,0.066921
0.72,0.064126
0.74,0.061207
0.76,0.058156
0.78,0.054974
0.8,0.051668
0.82,0.048185
0.84,0.044603
0.86,0.04091
0.88,0.037109
0.9,0.033205
0.92,0.02915
0.94,0.02502
0.96,0.020802
0.98,0.016499
1,0.012116
1.02,0.0076142
1.04,0.0030677
1.06,-0.0015381
1.08,-0.0061972
1.1,-0.010903
1.12,-0.015685
1.14,-0.020467
1.16,-0.025267
1.18,-0.030076
1.2,-0.034883
1.22,-0.039698
1.24,-0.04445
1.26,-0.049155
1.28,-0.053801
1.3,-0.058372
1.32,-0.062849
1.34,-0.067172
1.36,-0.071356
1.38,-0.075384
1.4,-0.079237
1.42,-0.082855
1.44,-0.086201
1.46,-0.08929
1.48,-0.092102
1.5,-0.094615
1.52,-0.096717
1.54,-0.098419
1.56,-0.099735
1.58,-0.10064
1.6,-0.10112
1.62,-0.10102
1.64,-0.1004
1.66,-0.099292
1.68,-0.097673
1.7,-0.095534
1.72,-0.092678
1.74,-0.089284
1.76,-0.085354
1.78,-0.080891
1.8,-0.075903
1.82,-0.070191
1.84,-0.064026
1.86,-0.057396
1.88,-0.050326
1.9,-0.042841
1.92,-0.034783
1.94,-0.026474
1.96,-0.017882
1.98,-0.0091418
2,0
