"arc_length","U:x"
0,0
0.01,-0.0017546
0.02,-0.0034895
0.03,-0.0051708
0.04,-0.0068184
0.05,-0.008435
0.06,-0.010006
0.07,-0.011563
0.08,-0.013065
0.09,-0.014557
0.1,-0.016007
0.11,-0.01744
0.12,-0.018843
0.13,-0.020222
0.14,-0.021581
0.15,-0.022913
0.16,-0.024233
0.17,-0.025522
0.18,-0.026806
0.19,-0.028058
0.2,-0.029306
0.21,-0.030528
0.22,-0.031744
0.23,-0.032938
0.24,-0.034127
0.25,-0.035297
0.26,-0.03646
0.27,-0.037609
0.28,-0.038751
0.29,-0.03988
0.3,-0.041003
0.31,-0.042115
0.32,-0.043222
0.33,-0.044319
0.34,-0.045412
0.35,-0.046496
0.36,-0.047576
0.37,-0.048649
0.38,-0.049718
0.39,-0.05078
0.4,-0.051841
0.41,-0.052894
0.42,-0.053947
0.43,-0.054992
0.44,-0.056037
0.45,-0.057075
0.46,-0.058114
0.47,-0.059146
0.48,-0.060177
0.49,-0.061203
0.5,-0.062228
0.51,-0.063249
0.52,-0.064267
0.53,-0.065282
0.54,-0.066294
0.55,-0.067303
0.56,-0.068307
0.57,-0.06931
0.58,-0.070305
0.59,-0.0713
0.6,-0.072287
0.61,-0.073272
0.62,-0.07425
0.63,-0.075223
0.64,-0.076192
0.65,-0.077151
0.66,-0.07811
0.67,-0.079052
0.68,-0.079993
0.69,-0.080922
0.7,-0.081844
0.71,-0.082757
0.72,-0.083655
0.73,-0.084553
0.74,-0.085423
0.75,-0.086294
0.76,-0.087143
0.77,-0.087981
0.78,-0.088809
0.79,-0.089608
0.8,-0.090407
0.81,-0.09117
0.82,-0.091925
0.83,-0.09266
0.84,-0.093364
0.85,-0.094067
0.86,-0.094717
0.87,-0.095362
0.88,-0.095978
0.89,-0.096556
0.9,-0.097134
0.91,-0.097642
0.92,-0.098144
0.93,-0.098612
0.94,-0.099028
0.95,-0.099445
0.96,-0.09978
0.97,-0.1001
0.98,-0.10039
0.99,-0.1006
1,-0.10082
1.01,-0.10095
1.02,-0.10104
1.03,-0.10113
1.04,-0.10109
1.05,-0.10105
1.06,-0.10095
1.07,-0.10076
1.08,-0.10058
1.09,-0.10027
1.1,-0.099925
1.11,-0.099565
1.12,-0.099044
1.13,-0.098523
1.14,-0.09793
1.15,-0.097217
1.16,-0.096504
1.17,-0.095658
1.18,-0.094736
1.19,-0.093814
1.2,-0.092692
1.21,-0.091543
1.22,-0.09037
1.23,-0.088976
1.24,-0.087582
1.25,-0.08611
1.26,-0.084451
1.27,-0.082793
1.28,-0.081001
1.29,-0.079057
1.3,-0.077113
1.31,-0.074982
1.32,-0.07273
1.33,-0.070479
1.34,-0.067987
1.35,-0.065405
1.36,-0.062823
1.37,-0.059949
1.38,-0.057012
1.39,-0.054074
1.4,-0.050797
1.41,-0.047478
1.42,-0.044158
1.43,-0.040456
1.44,-0.036726
1.45,-0.032995
1.46,-0.028845
1.47,-0.024672
1.48,-0.020499
1.49,-0.015879
1.5,-0.011228
1.51,-0.0065776
1.52,-0.0014636
1.53,0.0037021
1.54,0.0088678
1.55,0.0145
1.56,0.020223
1.57,0.025946
1.58,0.032121
1.59,0.038449
1.6,0.044778
1.61,0.051518
1.62,0.058503
1.63,0.065488
1.64,0.072816
1.65,0.080511
1.66,0.088206
1.67,0.096138
1.68,0.1046
1.69,0.11306
1.7,0.12161
1.71,0.13088
1.72,0.14016
1.73,0.14943
1.74,0.15947
1.75,0.16961
1.76,0.17974
1.77,0.19043
1.78,0.20146
1.79,0.21249
1.8,0.22382
1.81,0.23575
1.82,0.24768
1.83,0.25963
1.84,0.27243
1.85,0.28524
1.86,0.29804
1.87,0.31139
1.88,0.32501
1.89,0.33862
1.9,0.35245
1.91,0.36676
1.92,0.38106
1.93,0.39537
1.94,0.41015
1.95,0.42497
1.96,0.4398
1.97,0.45474
1.98,0.46983
1.99,0.48491
2,0.5
