"""arc_length""","""U:y"""
0,0
0.01,0.0042049
0.02,0.0084098
0.03,0.012411
0.04,0.016334
0.05,0.020199
0.06,0.023836
0.07,0.027473
0.08,0.030912
0.09,0.034259
0.1,0.03756
0.11,0.040618
0.12,0.043676
0.13,0.04655
0.14,0.049321
0.15,0.052056
0.16,0.054546
0.17,0.057035
0.18,0.059355
0.19,0.061569
0.2,0.063756
0.21,0.065702
0.22,0.067647
0.23,0.069441
0.24,0.071127
0.25,0.072795
0.26,0.074232
0.27,0.075669
0.28,0.076972
0.29,0.07817
0.3,0.079357
0.31,0.080327
0.32,0.081297
0.33,0.08215
0.34,0.082903
0.35,0.083651
0.36,0.084197
0.37,0.084744
0.38,0.08519
0.39,0.085541
0.4,0.085893
0.41,0.086059
0.42,0.086226
0.43,0.086308
0.44,0.0863
0.45,0.086296
0.46,0.086124
0.47,0.085951
0.48,0.085707
0.49,0.085379
0.5,0.085059
0.51,0.084585
0.52,0.084111
0.53,0.083575
0.54,0.082963
0.55,0.082359
0.56,0.081616
0.57,0.080873
0.58,0.080078
0.59,0.079211
0.6,0.078354
0.61,0.07737
0.62,0.076386
0.63,0.075358
0.64,0.074262
0.65,0.073178
0.66,0.071977
0.67,0.070776
0.68,0.069537
0.69,0.068234
0.7,0.066945
0.71,0.065547
0.72,0.064149
0.73,0.062718
0.74,0.061228
0.75,0.059752
0.76,0.058174
0.77,0.056596
0.78,0.054991
0.79,0.053329
0.8,0.051682
0.81,0.04994
0.82,0.048197
0.83,0.046432
0.84,0.044613
0.85,0.04281
0.86,0.040918
0.87,0.039025
0.88,0.037114
0.89,0.035152
0.9,0.033207
0.91,0.031179
0.92,0.029151
0.93,0.027109
0.94,0.025019
0.95,0.022947
0.96,0.020798
0.97,0.018649
0.98,0.016493
0.99,0.01429
1,0.012108
1.01,0.0098561
1.02,0.0076043
1.03,0.0053516
1.04,0.0030558
1.05,0.00078214
1.06,-0.0015519
1.07,-0.0038859
1.08,-0.0062128
1.09,-0.0085789
1.1,-0.010921
1.11,-0.013312
1.12,-0.015704
1.13,-0.018079
1.14,-0.020488
1.15,-0.022871
1.16,-0.02529
1.17,-0.027709
1.18,-0.0301
1.19,-0.032519
1.2,-0.034908
1.21,-0.037317
1.22,-0.039725
1.23,-0.042092
1.24,-0.044478
1.25,-0.046833
1.26,-0.049185
1.27,-0.051537
1.28,-0.053831
1.29,-0.056134
1.3,-0.058403
1.31,-0.060642
1.32,-0.062882
1.33,-0.065046
1.34,-0.067205
1.35,-0.069329
1.36,-0.07139
1.37,-0.073452
1.38,-0.075419
1.39,-0.077364
1.4,-0.079272
1.41,-0.081082
1.42,-0.082891
1.43,-0.084585
1.44,-0.086237
1.45,-0.087853
1.46,-0.089327
1.47,-0.090801
1.48,-0.092139
1.49,-0.093412
1.5,-0.094651
1.51,-0.095703
1.52,-0.096754
1.53,-0.09765
1.54,-0.098456
1.55,-0.099232
1.56,-0.099771
1.57,-0.10031
1.58,-0.10068
1.59,-0.10093
1.6,-0.10116
1.61,-0.10111
1.62,-0.10105
1.63,-0.10081
1.64,-0.10044
1.65,-0.10004
1.66,-0.099324
1.67,-0.098606
1.68,-0.097704
1.69,-0.096635
1.7,-0.095564
1.71,-0.094136
1.72,-0.092707
1.73,-0.091103
1.74,-0.089311
1.75,-0.087534
1.76,-0.08538
1.77,-0.083226
1.78,-0.080916
1.79,-0.078405
1.8,-0.075926
1.81,-0.073069
1.82,-0.070212
1.83,-0.067231
1.84,-0.064045
1.85,-0.060908
1.86,-0.057413
1.87,-0.053918
1.88,-0.05034
1.89,-0.046563
1.9,-0.042853
1.91,-0.038823
1.92,-0.034793
1.93,-0.030729
1.94,-0.026481
1.95,-0.022316
1.96,-0.017887
1.97,-0.013458
1.98,-0.0091443
1.99,-0.0045722
2,0
