"arc_length","Result"
0,0
0.01,9.2869E+015
0.02,1.8574E+016
0.03,2.702E+016
0.04,3.4647E+016
0.05,4.226E+016
0.06,4.9372E+016
0.07,5.6483E+016
0.08,6.3388E+016
0.09,7.0121E+016
0.1,7.6837E+016
0.11,8.3009E+016
0.12,8.9181E+016
0.13,9.5025E+016
0.14,1.0057E+017
0.15,1.061E+017
0.16,1.1111E+017
0.17,1.1612E+017
0.18,1.2087E+017
0.19,1.2539E+017
0.2,1.299E+017
0.21,1.3399E+017
0.22,1.3808E+017
0.23,1.4196E+017
0.24,1.4564E+017
0.25,1.4932E+017
0.26,1.5264E+017
0.27,1.5596E+017
0.28,1.5913E+017
0.29,1.6218E+017
0.3,1.6523E+017
0.31,1.6796E+017
0.32,1.707E+017
0.33,1.7328E+017
0.34,1.7572E+017
0.35,1.7815E+017
0.36,1.8034E+017
0.37,1.8254E+017
0.38,1.8458E+017
0.39,1.8648E+017
0.4,1.8839E+017
0.41,1.9005E+017
0.42,1.917E+017
0.43,1.9328E+017
0.44,1.9478E+017
0.45,1.9628E+017
0.46,1.9761E+017
0.47,1.9894E+017
0.48,2.0021E+017
0.49,2.014E+017
0.5,2.026E+017
0.51,2.0365E+017
0.52,2.047E+017
0.53,2.056E+017
0.54,2.0642E+017
0.55,2.0722E+017
0.56,2.0789E+017
0.57,2.0856E+017
0.58,2.0917E+017
0.59,2.0972E+017
0.6,2.1026E+017
0.61,2.1058E+017
0.62,2.109E+017
0.63,2.111E+017
0.64,2.1123E+017
0.65,2.1135E+017
0.66,2.1138E+017
0.67,2.114E+017
0.68,2.1139E+017
0.69,2.1134E+017
0.7,2.1129E+017
0.71,2.1106E+017
0.72,2.1083E+017
0.73,2.1052E+017
0.74,2.1014E+017
0.75,2.0976E+017
0.76,2.0941E+017
0.77,2.0907E+017
0.78,2.0869E+017
0.79,2.0829E+017
0.8,2.0788E+017
0.81,2.0728E+017
0.82,2.0669E+017
0.83,2.0602E+017
0.84,2.0526E+017
0.85,2.0451E+017
0.86,2.0363E+017
0.87,2.0276E+017
0.88,2.0183E+017
0.89,2.0085E+017
0.9,1.9986E+017
0.91,1.9875E+017
0.92,1.9763E+017
0.93,1.9652E+017
0.94,1.954E+017
0.95,1.9428E+017
0.96,1.9337E+017
0.97,1.9245E+017
0.98,1.9185E+017
0.99,1.9156E+017
1,1.9127E+017
1.01,1.918E+017
1.02,1.9232E+017
1.03,1.931E+017
1.04,1.9414E+017
1.05,1.9519E+017
1.06,1.9639E+017
1.07,1.9759E+017
1.08,1.9874E+017
1.09,1.9983E+017
1.1,2.0092E+017
1.11,2.0184E+017
1.12,2.0277E+017
1.13,2.0365E+017
1.14,2.0446E+017
1.15,2.0527E+017
1.16,2.0589E+017
1.17,2.065E+017
1.18,2.0704E+017
1.19,2.0749E+017
1.2,2.0794E+017
1.21,2.0838E+017
1.22,2.0881E+017
1.23,2.0922E+017
1.24,2.0958E+017
1.25,2.0996E+017
1.26,2.1017E+017
1.27,2.1038E+017
1.28,2.1053E+017
1.29,2.1062E+017
1.3,2.1072E+017
1.31,2.1075E+017
1.32,2.1077E+017
1.33,2.1073E+017
1.34,2.1063E+017
1.35,2.1053E+017
1.36,2.1027E+017
1.37,2.1002E+017
1.38,2.0971E+017
1.39,2.0935E+017
1.4,2.0898E+017
1.41,2.085E+017
1.42,2.0803E+017
1.43,2.0748E+017
1.44,2.0685E+017
1.45,2.0625E+017
1.46,2.0543E+017
1.47,2.0461E+017
1.48,2.0372E+017
1.49,2.0272E+017
1.5,2.0173E+017
1.51,2.0057E+017
1.52,1.9941E+017
1.53,1.9816E+017
1.54,1.9685E+017
1.55,1.9554E+017
1.56,1.9406E+017
1.57,1.9259E+017
1.58,1.9102E+017
1.59,1.8934E+017
1.6,1.8766E+017
1.61,1.8573E+017
1.62,1.838E+017
1.63,1.8176E+017
1.64,1.7958E+017
1.65,1.7741E+017
1.66,1.7497E+017
1.67,1.7252E+017
1.68,1.6997E+017
1.69,1.6728E+017
1.7,1.6461E+017
1.71,1.6164E+017
1.72,1.5867E+017
1.73,1.5553E+017
1.74,1.5222E+017
1.75,1.4892E+017
1.76,1.4524E+017
1.77,1.4155E+017
1.78,1.377E+017
1.79,1.3365E+017
1.8,1.2961E+017
1.81,1.2515E+017
1.82,1.2068E+017
1.83,1.1596E+017
1.84,1.1099E+017
1.85,1.0602E+017
1.86,1.0049E+017
1.87,9.4952E+016
1.88,8.9115E+016
1.89,8.2954E+016
1.9,7.6809E+016
1.91,7.0065E+016
1.92,6.3321E+016
1.93,5.6406E+016
1.94,4.9279E+016
1.95,4.217E+016
1.96,3.4532E+016
1.97,2.6895E+016
1.98,1.8481E+016
1.99,9.2406E+015
2,0
