"""arc_length""","""U:x"""
0,0
0.01,0.00019183
0.02,0.00038367
0.03,0.00069653
0.04,0.0011217
0.05,0.0015587
0.06,0.0021572
0.07,0.0027557
0.08,0.0034241
0.09,0.0041245
0.1,0.0048499
0.11,0.0055963
0.12,0.0063428
0.13,0.0071242
0.14,0.007882
0.15,0.0086723
0.16,0.0094151
0.17,0.010158
0.18,0.010919
0.19,0.011627
0.2,0.012372
0.21,0.01303
0.22,0.013688
0.23,0.014352
0.24,0.01495
0.25,0.015584
0.26,0.016113
0.27,0.016643
0.28,0.017171
0.29,0.017626
0.3,0.018115
0.31,0.018496
0.32,0.018877
0.33,0.019255
0.34,0.019566
0.35,0.019905
0.36,0.020152
0.37,0.020398
0.38,0.020639
0.39,0.020826
0.4,0.021034
0.41,0.021165
0.42,0.021297
0.43,0.021419
0.44,0.021499
0.45,0.021591
0.46,0.021621
0.47,0.021651
0.48,0.021662
0.49,0.021641
0.5,0.021624
0.51,0.021554
0.52,0.021484
0.53,0.021387
0.54,0.021265
0.55,0.021137
0.56,0.020962
0.57,0.020788
0.58,0.020581
0.59,0.020362
0.6,0.020129
0.61,0.019871
0.62,0.019612
0.63,0.019318
0.64,0.019021
0.65,0.018705
0.66,0.018368
0.67,0.018032
0.68,0.017656
0.69,0.017283
0.7,0.016886
0.71,0.016478
0.72,0.016071
0.73,0.015622
0.74,0.015182
0.75,0.014715
0.76,0.014245
0.77,0.013775
0.78,0.013261
0.79,0.012762
0.8,0.012233
0.81,0.011707
0.82,0.011181
0.83,0.010612
0.84,0.010062
0.85,0.0094797
0.86,0.0089086
0.87,0.0083375
0.88,0.0077252
0.89,0.0071378
0.9,0.006517
0.91,0.0059174
0.92,0.0053179
0.93,0.0046798
0.94,0.0040706
0.95,0.0034275
0.96,0.0028115
0.97,0.0021955
0.98,0.0015429
0.99,0.00092168
1,0.0002666
1.01,-0.00035805
1.02,-0.0009827
1.03,-0.0016417
1.04,-0.0022675
1.05,-0.002927
1.06,-0.003552
1.07,-0.0041769
1.08,-0.0048336
1.09,-0.0054547
1.1,-0.0061092
1.11,-0.0067221
1.12,-0.007335
1.13,-0.0079747
1.14,-0.0085749
1.15,-0.0092077
1.16,-0.0097898
1.17,-0.010372
1.18,-0.010974
1.19,-0.011533
1.2,-0.012123
1.21,-0.012653
1.22,-0.013184
1.23,-0.013729
1.24,-0.014228
1.25,-0.014757
1.26,-0.015222
1.27,-0.015688
1.28,-0.016163
1.29,-0.016592
1.3,-0.017048
1.31,-0.017437
1.32,-0.017826
1.33,-0.018219
1.34,-0.018566
1.35,-0.018936
1.36,-0.019239
1.37,-0.019541
1.38,-0.01984
1.39,-0.020095
1.4,-0.020367
1.41,-0.020576
1.42,-0.020785
1.43,-0.020988
1.44,-0.021159
1.45,-0.021337
1.46,-0.021471
1.47,-0.021604
1.48,-0.021718
1.49,-0.021803
1.5,-0.02189
1.51,-0.021921
1.52,-0.021951
1.53,-0.021953
1.54,-0.02193
1.55,-0.0219
1.56,-0.021821
1.57,-0.021742
1.58,-0.021619
1.59,-0.021477
1.6,-0.021318
1.61,-0.021113
1.62,-0.020907
1.63,-0.020649
1.64,-0.02038
1.65,-0.020086
1.66,-0.019752
1.67,-0.019418
1.68,-0.019023
1.69,-0.018624
1.7,-0.018192
1.71,-0.017727
1.72,-0.017262
1.73,-0.016728
1.74,-0.016195
1.75,-0.015626
1.76,-0.015028
1.77,-0.01443
1.78,-0.013764
1.79,-0.013106
1.8,-0.01241
1.81,-0.011703
1.82,-0.010996
1.83,-0.010233
1.84,-0.0094891
1.85,-0.0087093
1.86,-0.0079498
1.87,-0.0071902
1.88,-0.0064022
1.89,-0.0056526
1.9,-0.0048733
1.91,-0.0041683
1.92,-0.0034633
1.93,-0.0027844
1.94,-0.0021815
1.95,-0.0015597
1.96,-0.0011332
1.97,-0.00070676
1.98,-0.00038166
1.99,-0.00019083
2,0
