"""arc_length""","""U:y"""
0,0
0.02,0.00045348
0.04,0.0015286
0.06,0.0032004
0.08,0.0053942
0.1,0.0080392
0.12,0.011075
0.14,0.014445
0.16,0.018095
0.18,0.021979
0.2,0.026062
0.22,0.030304
0.24,0.034671
0.26,0.039135
0.28,0.043676
0.3,0.048272
0.32,0.052903
0.34,0.05755
0.36,0.0622
0.38,0.066841
0.4,0.071461
0.42,0.076052
0.44,0.080609
0.46,0.085119
0.48,0.089575
0.5,0.093972
0.52,0.098306
0.54,0.10257
0.56,0.10676
0.58,0.11088
0.6,0.11491
0.62,0.11887
0.64,0.12273
0.66,0.12651
0.68,0.13017
0.7,0.13374
0.72,0.1372
0.74,0.14056
0.76,0.1438
0.78,0.14693
0.8,0.14993
0.82,0.15279
0.84,0.15552
0.86,0.15812
0.88,0.16059
0.9,0.16292
0.92,0.16506
0.94,0.16705
0.96,0.16889
0.98,0.17057
1,0.17207
1.02,0.17336
1.04,0.17449
1.06,0.17544
1.08,0.17619
1.1,0.1767
1.12,0.17702
1.14,0.17716
1.16,0.17706
1.18,0.17671
1.2,0.17616
1.22,0.17541
1.24,0.17434
1.26,0.17305
1.28,0.17154
1.3,0.16975
1.32,0.16766
1.34,0.16535
1.36,0.16279
1.38,0.15986
1.4,0.15672
1.42,0.15335
1.44,0.14958
1.46,0.1456
1.48,0.14139
1.5,0.13678
1.52,0.13198
1.54,0.12694
1.56,0.12154
1.58,0.11596
1.6,0.11014
1.62,0.10404
1.64,0.097796
1.66,0.09132
1.68,0.084685
1.7,0.077958
1.72,0.07108
1.74,0.06418
1.76,0.057251
1.78,0.050393
1.8,0.043594
1.82,0.037008
1.84,0.030659
1.86,0.024536
1.88,0.019019
1.9,0.013779
1.92,0.0094417
1.94,0.0057546
1.96,0.0028659
1.98,0.0012077
2,0
