coordinate[cm],Fission rate density change,Uncertanity,+sigma,-sigma
90,-1.0453E+018,0.01749,-1.063582297E+018,-1.027017703E+018
91,-1.0083E+018,0.01756,-1.026005748E+018,-9.90594252E+017
92,-1.143E+018,0.01739,-1.16287677E+018,-1.12312323E+018
93,-7.92000000000002E+017,0.01674,-8.05258080000002E+017,-7.78741920000002E+017
94,-1.0985E+018,0.0182,-1.1184927E+018,-1.0785073E+018
95,-6.081E+017,0.01816,-6.19143096E+017,-5.97056904E+017
96,-9.437E+017,0.01773,-9.60431801E+017,-9.26968199E+017
97,-3.529E+017,0.01714,-3.58948706E+017,-3.46851294E+017
98,-6.615E+017,0.01797,-6.73387155E+017,-6.49612845E+017
99,-8.794E+017,0.01693,-8.94288242E+017,-8.64511758E+017
100,-8.44499999999998E+017,0.01737,-8.59168964999998E+017,-8.29831034999998E+017
101,-1.049E+018,0.01697,-1.06680153E+018,-1.03119847E+018
102,-4.942E+017,0.01878,-5.03481076E+017,-4.84918924E+017
103,-8.813E+017,0.01792,-8.97092896E+017,-8.65507104E+017
104,-9.037E+017,0.01669,-9.18782753E+017,-8.88617247E+017
105,-5.436E+017,0.01783,-5.53292388E+017,-5.33907612E+017
106,-4.285E+017,0.01769,-4.36080165E+017,-4.20919835E+017
107,-3.966E+017,0.01789,-4.03695174E+017,-3.89504826E+017
108,-4.206E+017,0.01734,-4.27893204E+017,-4.13306796E+017
109,-5.66300000000002E+017,0.01782,-5.76391466000002E+017,-5.56208534000002E+017
110,-4.716E+017,0.01749,-4.79848284E+017,-4.63351716E+017
111,-7.55E+016,0.01754,-7.682427E+016,-7.417573E+016
112,1.28E+016,0.01808,1.3031424E+016,1.2568576E+016
113,-1.78000000000002E+017,0.01855,-1.81301900000002E+017,-1.74698100000002E+017
114,-2.527E+017,0.01772,-2.57177844E+017,-2.48222156E+017
115,2.65E+016,0.0181,2.697965E+016,2.602035E+016
116,-1.926E+017,0.01769,-1.96007094E+017,-1.89192906E+017
117,1.332E+017,0.018,1.355976E+017,1.308024E+017
118,-1.666E+017,0.01732,-1.69485512E+017,-1.63714488E+017
119,-2.507E+017,0.01814,-2.55247698E+017,-2.46152302E+017
120,6.18E+016,0.01875,6.295875E+016,6.064125E+016
121,-3.756E+017,0.01772,-3.82255632E+017,-3.68944368E+017
122,-5.463E+017,0.01768,-5.55958584E+017,-5.36641416E+017
123,-1.64899999999998E+017,0.01824,-1.67907775999998E+017,-1.61892223999998E+017
124,-2.54599999999998E+017,0.01868,-2.59355927999998E+017,-2.49844071999998E+017
125,-1.18200000000002E+017,0.01817,-1.20347694000002E+017,-1.16052306000002E+017
126,2.431E+017,0.01842,2.47577902E+017,2.38622098E+017
